Industry,Ratio,10MA,Trend,Slope,Status
Trucking,0.9166666666666666,0.9333333333333333,Up,1.1102230246251565e-16,Overbought
Marine Shipping,0.8571428571428571,0.7471428571428571,Up,0.0071428571428571175,Overbought
Tools & Accessories,0.8571428571428571,0.7714285714285715,Up,0.02857142857142858,Overbought
Integrated Freight & Logistics,0.8333333333333334,0.7606060606060605,Up,0.037878787878787734,Overbought
Semiconductor Equipment & Materials,0.8148148148148148,0.8991452991452992,Down,-0.010826210826210825,Overbought
Oil & Gas Equipment & Services,0.8108108108108109,0.6838076311605723,Up,0.023938223938223868,Overbought
Semiconductors,0.7647058823529411,0.7370946455505278,Up,0.013970588235293957,Overbought
Oil & Gas Midstream,0.7560975609756098,0.42195121951219516,Up,0.04060975609756101,Overbought
Uranium,0.7142857142857143,0.5452380952380953,Up,0.07142857142857151,Overbought
Oil & Gas Drilling,0.7142857142857143,0.5142857142857143,Up,0.028571428571428692,Overbought
Other Industrial Metals & Mining,0.7058823529411765,0.672467320261438,Up,0.023921568627450984,Overbought
Steel,0.7,0.8344444444444445,Down,-0.007777777777777661,Overbought
Electronic Components,0.6923076923076923,0.7326210826210826,Down,-0.007692307692307665,Overbought
Communication Equipment,0.6896551724137931,0.6621152793566587,Up,0.0009655172413793878,Overbought
Banks - Diversified,0.6842105263157895,0.6368421052631579,Down,-0.010526315789473606,Overbought
Scientific & Technical Instruments,0.6470588235294118,0.7,Down,0.0,Overbought
Food Distribution,0.625,0.5125,Down,-0.012500000000000067,Overbought
Engineering & Construction,0.6060606060606061,0.6307766743060861,Down,-0.005108225108225062,Overbought
Chemicals,0.6,0.4409090909090909,Down,0.0,Overbought
Metal Fabrication,0.5833333333333334,0.5984848484848485,Up,0.0037878787878788955,Overbought
Electrical Equipment & Parts,0.5789473684210527,0.6147746818025456,Up,0.004953560371517063,Overbought
Farm & Heavy Construction Machinery,0.5714285714285714,0.5071428571428571,Up,0.003809523809523818,Overbought
REIT - Hotel & Motel,0.5714285714285714,0.5714285714285714,Down,0.0,Overbought
REIT - Healthcare Facilities,0.5714285714285714,0.4065934065934066,Up,0.05714285714285716,Overbought
Oil & Gas Refining & Marketing,0.5454545454545454,0.17272727272727273,Up,0.04545454545454547,Overbought
Publishing,0.5,0.3,Up,0.024999999999999967,Overbought
Aluminum,0.5,0.65,Down,-0.04999999999999993,Overbought
Railroads,0.5,0.4,Up,0.012500000000000011,Overbought
Computer Hardware,0.5,0.45809523809523806,Up,0.01428571428571429,Overbought
Electronics & Computer Distribution,0.5,0.5,Down,0.0,Overbought
Silver,0.5,0.4,Up,0.050000000000000044,Overbought
Oil & Gas Integrated,0.47058823529411764,0.27647058823529413,Down,-0.00588235294117645,Overbought
Industrial Distribution,0.4444444444444444,0.5078947368421053,Down,-0.0029239766081871066,Overbought
Specialty Industrial Machinery,0.43137254901960786,0.47937254901960785,Down,-0.006862745098039191,Overbought
Resorts & Casinos,0.4166666666666667,0.36666666666666664,Up,0.03333333333333327,Overbought
Auto Parts,0.41379310344827586,0.3758620689655172,Up,0.006896551724137889,Overbought
Financial Conglomerates,0.4,0.26,Up,0.020000000000000018,Overbought
Tobacco,0.4,0.06000000000000001,Up,0.04000000000000001,Overbought
Leisure,0.38461538461538464,0.43076923076923074,Down,-1.1102230246251565e-16,Overbought
Specialty Chemicals,0.3783783783783784,0.4,Down,-0.0010510510510510218,Overbought
Lodging,0.375,0.5,Down,-0.025000000000000022,Overbought
Utilities - Renewable,0.36363636363636365,0.40636363636363637,Down,-0.033636363636363686,Normal
Building Products & Equipment,0.36363636363636365,0.31623376623376626,Up,0.012554112554112595,Normal
Entertainment,0.35714285714285715,0.25965608465608464,Up,0.013492063492063472,Normal
REIT - Specialty,0.35714285714285715,0.34285714285714286,Up,0.0023809523809523725,Normal
Banks - Regional,0.35195530726256985,0.5159608959476715,Down,-0.04096725997141737,Normal
Insurance - Reinsurance,0.3333333333333333,0.6,Down,-0.033333333333333326,Normal
Conglomerates,0.3333333333333333,0.32727272727272727,Up,0.0060606060606061,Normal
Beverages - Brewers,0.3333333333333333,0.26666666666666666,Down,-0.016666666666666663,Normal
Broadcasting,0.3333333333333333,0.03333333333333333,Up,0.03333333333333333,Normal
Luxury Goods,0.3333333333333333,0.43,Down,-0.04666666666666658,Normal
Pollution & Treatment Controls,0.3333333333333333,0.31666666666666665,Up,5.551115123125783e-17,Normal
Specialty Business Services,0.3333333333333333,0.375,Down,-0.004166666666666652,Normal
Department Stores,0.3333333333333333,0.5333333333333333,Down,-0.033333333333333326,Normal
Biotechnology,0.324468085106383,0.42340968872841556,Down,-0.016171976019748402,Normal
Insurance - Life,0.3076923076923077,0.3384615384615385,Down,0.0,Normal
Building Materials,0.3076923076923077,0.38461538461538464,Down,-0.019230769230769218,Normal
Oil & Gas E&P,0.3023255813953488,0.10719822812846069,Up,0.02308970099667776,Normal
Medical Care Facilities,0.3,0.2834649610678531,Up,0.008571428571428508,Normal
Healthcare Plans,0.3,0.3,Down,0.0,Normal
Apparel Retail,0.29411764705882354,0.36764705882352944,Down,-0.017647058823529405,Normal
Utilities - Regulated Gas,0.2857142857142857,0.3,Down,-0.04285714285714287,Normal
Gambling,0.2857142857142857,0.16785714285714284,Up,0.014285714285714263,Normal
Personal Services,0.2857142857142857,0.22857142857142856,Up,0.028571428571428553,Normal
Beverages - Non-Alcoholic,0.2727272727272727,0.16363636363636364,Up,0.009090909090909094,Normal
Capital Markets,0.2702702702702703,0.29403689403689404,Down,-0.0015444015444015524,Normal
Telecom Services,0.2702702702702703,0.28623337623337625,Down,-0.007258687258687224,Normal
Credit Services,0.2692307692307692,0.27692307692307694,Up,0.0038461538461538325,Normal
REIT - Industrial,0.26666666666666666,0.26,Down,-0.006666666666666654,Normal
Farm Products,0.25,0.15,Down,0.0,Normal
Real Estate - Development,0.25,0.25,Down,0.0,Normal
REIT - Diversified,0.25,0.3,Down,0.0,Normal
Security & Protection Services,0.25,0.275,Up,0.012500000000000011,Normal
Drug Manufacturers - Specialty & Generic,0.23333333333333334,0.27436781609195404,Down,-0.009999999999999953,Normal
Apparel Manufacturing,0.23076923076923078,0.36410256410256414,Down,-0.01025641025641022,Normal
Discount Stores,0.2222222222222222,0.37777777777777777,Down,-0.022222222222222254,Normal
Closed-End Fund - Equity,0.2222222222222222,0.2342235092235092,Down,-0.006349206349206327,Normal
Waste Management,0.2222222222222222,0.2444444444444444,Down,-0.007777777777777828,Normal
REIT - Retail,0.21739130434782608,0.28695652173913044,Down,-0.013043478260869545,Normal
REIT - Office,0.21428571428571427,0.22362637362637364,Down,-0.0016483516483516425,Normal
Rental & Leasing Services,0.21428571428571427,0.22809523809523807,Down,-0.005238095238095264,Normal
Education & Training Services,0.21428571428571427,0.11428571428571428,Down,0.0,Normal
Beverages - Wineries & Distilleries,0.2,0.16,Up,0.01999999999999999,Normal
Closed-End Fund - Foreign,0.2,0.12000000000000002,Up,0.020000000000000018,Normal
Consumer Electronics,0.2,0.18,Up,0.01999999999999999,Normal
Recreational Vehicles,0.2,0.23000000000000004,Down,-0.02999999999999997,Normal
Medical Devices,0.19607843137254902,0.22061758866533365,Down,-0.0037964121818940266,Normal
Utilities - Regulated Electric,0.1891891891891892,0.14324324324324325,Down,-0.024324324324324326,Normal
Aerospace & Defense,0.18867924528301888,0.2343805984372022,Down,-0.016426193118756954,Normal
Restaurants,0.18518518518518517,0.15227920227920227,Down,-0.0007122507122507005,Normal
Asset Management,0.1780821917808219,0.19783180344148893,Up,0.00041691483025607656,Normal
Utilities - Diversified,0.16666666666666666,0.31666666666666665,Down,-0.033333333333333326,Normal
Software - Infrastructure,0.16279069767441862,0.16969755598793643,Up,0.0033378932968536057,Normal
Specialty Retail,0.15789473684210525,0.2781704260651629,Down,-0.004210526315789498,Normal
Insurance - Property & Casualty,0.15789473684210525,0.16808367071524966,Down,-0.0026315789473684015,Normal
Real Estate Services,0.15384615384615385,0.13846153846153847,Down,-0.0012820512820512775,Normal
Packaged Foods,0.15384615384615385,0.19615384615384618,Down,0.0,Normal
Agricultural Inputs,0.14285714285714285,0.0857142857142857,Down,-1.3877787807814457e-17,Normal
Auto & Truck Dealerships,0.14285714285714285,0.14285714285714285,Down,0.0,Normal
Travel Services,0.14285714285714285,0.20714285714285713,Down,-0.021428571428571463,Normal
Grocery Stores,0.14285714285714285,0.030952380952380953,Down,-0.0023809523809523864,Normal
Footwear & Accessories,0.14285714285714285,0.34285714285714286,Down,-0.01428571428571429,Normal
Household & Personal Products,0.14285714285714285,0.12904761904761902,Down,-2.7755575615628914e-17,Normal
Insurance - Diversified,0.14285714285714285,0.14285714285714285,Down,0.0,Normal
Drug Manufacturers - General,0.13333333333333333,0.10571428571428569,Down,-0.008095238095238086,Normal
Internet Retail,0.11764705882352941,0.1647058823529412,Down,-0.00588235294117645,Normal
Software - Application,0.11702127659574468,0.12393837928859422,Up,0.003099977121940045,Normal
Internet Content & Information,0.11538461538461539,0.14444953194953195,Down,-0.005128205128205138,Normal
Information Technology Services,0.11428571428571428,0.12309523809523808,Up,0.002857142857142822,Normal
Solar,0.1111111111111111,0.12222222222222223,Up,2.7755575615628914e-17,Normal
Advertising Agencies,0.1111111111111111,0.1125,Down,-0.001388888888888884,Normal
Utilities - Regulated Water,0.1111111111111111,0.2,Down,-0.022222222222222227,Normal
Diagnostics & Research,0.10344827586206896,0.12142857142857144,Down,-0.0034482758620689447,Normal
Other Precious Metals & Mining,0.1,0.32111111111111107,Down,-0.0011111111111111738,Normal
Health Information Services,0.1,0.10909774436090225,Down,-0.0005263157894736803,Normal
Auto Manufacturers,0.09090909090909091,0.2272727272727273,Down,0.0,Oversold
Financial Data & Stock Exchanges,0.09090909090909091,0.09090909090909091,Down,0.0,Oversold
Insurance - Brokers,0.07692307692307693,0.023076923076923078,Up,0.007692307692307693,Oversold
"Furnishings, Fixtures & Appliances",0.07692307692307693,0.17756410256410254,Down,-2.7755575615628914e-17,Oversold
Insurance - Specialty,0.07692307692307693,0.046153846153846156,Down,0.0,Oversold
REIT - Mortgage,0.07142857142857142,0.06928571428571428,Down,-0.0011904761904761862,Oversold
Gold,0.06666666666666667,0.2622311827956989,Down,-0.01268817204301076,Oversold
REIT - Residential,0.0625,0.03125,Down,0.0,Oversold
