Sector,Ratio,10MA,Trend,Slope,Status
Energy,0.463855421686747,0.54462448116883,Up,0.015097198610392382,Overbought
Technology,0.36319612590799033,0.32978329553410946,Down,-0.0008091002804880842,Normal
Industrials,0.2513089005235602,0.25024046717845205,Down,-0.007506185665659693,Normal
Real Estate,0.23076923076923078,0.18715650546636464,Up,0.00016025641025643744,Normal
Healthcare,0.2200488997555012,0.21901957290096957,Down,-0.003475879255219083,Normal
Communication Services,0.1926605504587156,0.20321915326502485,Down,-0.005058269278452737,Normal
Financial,0.17081260364842454,0.13309472554845772,Down,-0.0006928260138951148,Normal
Basic Materials,0.16233766233766234,0.23620558133457248,Down,-0.015641233766233775,Normal
Consumer Cyclical,0.1407942238267148,0.10919820687053532,Down,-0.00346443726645132,Normal
Consumer Defensive,0.13793103448275862,0.15512217575422813,Down,-0.0008620689655172431,Normal
Utilities,0.1125,0.09476851851851852,Up,0.0012500000000000011,Normal
